stage,arm,scheme,lam,norm,eps,seed,d,sigma_obs,scale,r2_mean,r2_min,eval_nce,nce_clean,nce_second,final_jfro,temperature,seconds,n_steps,sv_ratio,libinv_corr,auroc_global,auprc_global,auroc_colnorm,auprc_colnorm,auroc_global_jf,auprc_global_jf,auroc_colnorm_jf,auprc_colnorm_jf,included
select,acorn_l2_1.4142,fork_double,0.0,l2,1.4142,90001,6,0.0,select,0.503259832889847,0.3108549167415475,0.5945238143205642,-1.798367578983307,1.2073463582992554,0.0,0.05,155.2922477722168,16000,0.0017251394427809212,0.445206576093013,0.5326814814814815,0.7783006081660109,0.49795555555555554,0.734385068676433,0.537837037037037,0.8036551112040135,0.5345185185185185,0.7751660867539003,False
select,cebra,clean_single,0.0,,,90978,6,0.0,select,0.6316036794378986,0.47225468231773127,0.8736402720212937,-1.5378491806983947,nan,0.0,0.06610204003154513,22.871622562408447,8000,0.0004738976649357732,0.6888614872405605,0.6867555555555556,0.8566021381116755,0.6571851851851852,0.8074531656050953,0.5043555555555556,0.7505154541355481,0.577362962962963,0.7992516003546134,False
select,acorn_linf_0.0125,fork_double,0.0,linf,0.0125,90978,6,0.0,select,0.44200233361064084,0.22477720623109787,0.6557788103818893,-2.5407566261291503,-1.0687426328659058,0.0,0.05,146.94196772575378,16000,0.00034456161976626257,0.9566191121004938,0.8318222222222222,0.9348647298429885,0.6573037037037037,0.8455963157329731,0.7137185185185185,0.8684234534685569,0.6356148148148149,0.839033356901195,False
select,acorn_linf_0.025,fork_double,0.0,linf,0.025,90978,6,0.0,select,0.6392399000296393,0.3347805181739756,0.7296242505311966,-2.0590567421913146,0.13612672060728073,0.0,0.05,147.1506724357605,16000,0.0021722591297680532,0.7952708414288125,0.581274074074074,0.8085012703485155,0.6935111111111111,0.8719654572561364,0.7255111111111111,0.8761464757469618,0.6478814814814815,0.8511472949731002,False
select,acorn_linf_0.05,fork_double,0.0,linf,0.05,90978,6,0.0,select,0.5411185013369008,0.38020540093801924,0.81722993850708,-1.6044965529441833,1.4635777425765992,0.0,0.05,147.4216752052307,16000,0.0077559321046616735,0.9243647921597834,0.621037037037037,0.8218845407949165,0.6784,0.8459198315697483,0.6508444444444444,0.824224433688921,0.6139851851851852,0.8170652457614691,False
select,acorn_linf_0.1,fork_double,0.0,linf,0.1,90978,6,0.0,select,0.7061596483097342,0.5727455095935495,1.104016077518463,-0.6200011491775512,2.5879722023010254,0.0,0.054585113966602476,147.00044417381287,16000,0.01339894756216162,0.9723659601368402,0.6315851851851851,0.8344722960970405,0.6562370370370371,0.8193271110678283,0.6903111111111111,0.8576456074490273,0.5912296296296297,0.8344772950164006,False
select,acorn_linf_0.2,fork_double,0.0,linf,0.2,90978,6,0.0,select,0.7507670773250942,0.5555588950135422,1.5123060703277589,0.4339674115180969,3.405586767196655,0.0,0.08702836080662844,147.59715723991394,16000,0.0045460520731065625,0.6184754769594838,0.7093925925925926,0.8569931853894217,0.593125925925926,0.7657915193324968,0.8485925925925926,0.946960756382153,0.7076740740740741,0.9116386613299001,False
select,acorn_l2_0.0884,fork_double,0.0,l2,0.0884,90978,6,0.0,select,0.44349683181891447,0.3164019309843161,0.655804568529129,-2.4867215061187746,-0.5603541785478592,0.0,0.05,155.41488695144653,16000,0.0007557595806934564,0.9177957199750277,0.6189629629629629,0.8491627558838813,0.6395851851851851,0.8123143519513889,0.7805037037037037,0.9221448696562614,0.7095111111111111,0.8848962992677296,False
select,acorn_l2_0.1768,fork_double,0.0,l2,0.1768,90978,6,0.0,select,0.5730138542617467,0.5270858693647451,0.6928171783685684,-2.4066972589492797,-0.18890532851219177,0.0,0.05,155.02546906471252,16000,0.001790532970855584,0.7895216677496121,0.5147851851851852,0.7639034655160772,0.6508444444444444,0.8430379416151337,0.8155851851851852,0.9287407756687869,0.780325925925926,0.921181997338252,False
select,acorn_l2_0.3536,fork_double,0.0,l2,0.3536,90978,6,0.0,select,0.5380320032099878,0.337475368816061,0.6763397753238678,-2.237992296218872,-0.00382619708776474,0.0,0.05,155.2983856201172,16000,0.0034697465430583146,0.9248495677038915,0.5802074074074074,0.791794724705117,0.654874074074074,0.8451792061178577,0.7829333333333334,0.9017459905854824,0.7192888888888889,0.87456444647392,False
select,acorn_l2_0.7071,fork_double,0.0,l2,0.7071,90978,6,0.0,select,0.7442187634134504,0.6042546485271498,0.8714041143655777,-1.425941686630249,0.4864422982931137,0.0,0.05,150.72777390480042,16000,8.557493212047744e-06,0.6035680564091618,0.7444148148148149,0.9008364990853248,0.5722666666666667,0.7719463482643326,0.6356740740740741,0.8577026418413551,0.565274074074074,0.7762241238736047,False
select,acorn_l2_1.4142,fork_double,0.0,l2,1.4142,90978,6,0.0,select,0.7467475402256695,0.5877218358728298,0.990929439663887,-0.9910847580432892,1.1849378204345704,0.0,0.05,141.05115604400635,16000,5.063403032623675e-06,0.7432767486706678,0.3416296296296296,0.7086069792166929,0.647525925925926,0.8531424993679961,0.8063407407407407,0.9047280627974568,0.6570666666666667,0.8485744525215715,False
select,cebra,clean_single,0.0,,,91955,6,0.0,select,0.4192727738565008,0.355586522647228,0.9989481180906296,-1.4826307964324952,nan,0.0,0.06653486716865706,21.126628637313843,8000,0.0008030240875984518,0.5990705701816273,0.4318814814814815,0.7239142572104509,0.5110518518518519,0.7659840322063062,0.5829333333333333,0.768460715747865,0.6169481481481481,0.8076442825288564,False
select,acorn_linf_0.0125,fork_double,0.0,linf,0.0125,91955,6,0.0,select,0.5068948824464975,0.4059174854239729,0.729474139213562,-2.4510629653930662,-0.9317184102535248,0.0,0.05,147.08168172836304,16000,0.0019346696500821788,0.9211859023947904,0.6669037037037037,0.8681526165257254,0.6411851851851852,0.8654604742991556,0.6122666666666666,0.8376374675908358,0.6471111111111111,0.846703071325488,False
select,acorn_linf_0.025,fork_double,0.0,linf,0.025,91955,6,0.0,select,0.6465503728493701,0.5590527788848336,0.8689086109399795,-1.9605188107490539,0.1866789150238037,0.0,0.05,147.4382565021515,16000,0.000546048690745229,0.9146271816208925,0.6837333333333333,0.8686843136943322,0.6378074074074074,0.8498127007838632,0.5931851851851851,0.8178886995652286,0.6647703703703703,0.840395948556384,False
select,acorn_linf_0.05,fork_double,0.0,linf,0.05,91955,6,0.0,select,0.6570976534922498,0.5802035414711328,0.9426117420196534,-1.4203763437271117,1.5254134297370912,0.0,0.05,147.98697328567505,16000,0.0001613224830017242,0.9369935802985238,0.6378074074074074,0.8357762485069511,0.620562962962963,0.8285548480625418,0.6692148148148148,0.8631126439240301,0.554074074074074,0.8249309156717601,False
select,acorn_linf_0.1,fork_double,0.0,linf,0.1,91955,6,0.0,select,0.6621528695944713,0.35190499795917507,1.2311312556266785,-0.4927618932723999,2.6231586074829103,0.0,0.05541438872873227,147.92304587364197,16000,0.01955616078306667,0.8927550043327285,0.6458666666666667,0.8354590845144894,0.622637037037037,0.8343494105653926,0.6085333333333334,0.8250694653685188,0.6827851851851852,0.8452429793282348,False
select,acorn_linf_0.2,fork_double,0.0,linf,0.2,91955,6,0.0,select,0.8439453337264694,0.7665268501443548,1.7261994659900666,0.6038707458972931,3.4705031585693358,0.0,0.08103190300430763,148.02257370948792,16000,0.0022810570238578423,0.8022500473929132,0.6084148148148149,0.8273435103860639,0.6040888888888889,0.8447836185633812,0.6993777777777778,0.8754600338893755,0.6184296296296297,0.8417552221234778,False
select,acorn_l2_0.0884,fork_double,0.0,l2,0.0884,91955,6,0.0,select,0.5523292036179424,0.37540504097281924,0.7593920797109603,-2.330928702354431,-0.4334380650520325,0.0,0.05,155.88519954681396,16000,0.002471108869973839,0.592794731251009,0.6184888888888889,0.8272468329550215,0.5699555555555555,0.7814309763894272,0.6518518518518519,0.8723017442179345,0.6592,0.8651866258325074,False
select,acorn_l2_0.1768,fork_double,0.0,l2,0.1768,91955,6,0.0,select,0.5997788196941287,0.502106165381903,0.7738205015659332,-2.254239182472229,-0.05309708535671234,0.0,0.05,155.47219038009644,16000,0.0015405068260707345,0.3489713274469458,0.6263111111111112,0.8419377700531474,0.5808592592592593,0.814039844658304,0.6302222222222222,0.8607300423637115,0.6773333333333333,0.8639019869872808,False
select,acorn_l2_0.3536,fork_double,0.0,l2,0.3536,91955,6,0.0,select,0.5374084745517117,0.3148644454934586,0.7486547410488129,-2.2264169216156007,0.10386298418045044,0.0,0.05,155.6353862285614,16000,0.0025471126041068134,0.731211949501536,0.7772444444444444,0.9126830105930903,0.6249481481481481,0.8389522129247091,0.5233777777777778,0.8023459608470018,0.541274074074074,0.7936059885418657,False
select,acorn_l2_0.7071,fork_double,0.0,l2,0.7071,91955,6,0.0,select,0.6286962685168551,0.48834167101042636,0.7908942192792893,-2.0494159507751464,0.43080655694007874,0.0,0.05,156.0562298297882,16000,0.0011015897957939458,0.898834976942416,0.553362962962963,0.7648224524363844,0.6529777777777778,0.8522945439374252,0.8233481481481482,0.931434230859959,0.7287111111111111,0.9001698592573535,False
select,acorn_l2_1.4142,fork_double,0.0,l2,1.4142,91955,6,0.0,select,0.7335517175484646,0.6115729288470526,0.8541680335998535,-1.583871853351593,1.3139393210411072,0.0,0.05,161.58066701889038,16000,0.0005860455292839164,0.7470096786074143,0.6607407407407407,0.8340987579781438,0.6043851851851851,0.8226524020846178,0.3655703703703704,0.7321131516101437,0.473362962962963,0.7507261700499226,False
